الماركة,اسم المنتج,الفئة,الكمية
la Hollandaise,Cheddar,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:cheddar-slices",24 336g
"Alesto,Lidl",Almonds,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Almonds,Shelled nuts,Shelled almonds,Unsalted almonds",200 g
Star,Star Branded Iodized Salt,"Condiments,Sels,Sels de table,en:groceries",400g
Star,Ketchup,"en:Condiments, en:Sauces, en:Tomato sauces, en:Ketchup, en:Groceries",310
COSUMAR,Cosumar Sucre En Lingot Pour Le Thé 1 kg,"en:Sweeteners, en:Sugars",1 kg 1000 g
"Alesto, Lidl, Lidl Alesto, 16 x Lidl 10.25",Cashewkerne,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Nüsse und Nussprodukte,Nüsse,Cashewnüsse",200g
"Ferrero,Nutella",,"Pequenos alomoços,Produtos para barrar,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau",350 g
Henry's,Henry’s,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits",42g
Danone,Assil,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",110 g
Salim,Salim,"Dairies,Milks",1 l
Coca-Cola,Coca-Cola,"Bevande e preparati per bevande,Bevande,Bevande effervescente,Bibite gassate,Bibite gassate senza succo di frutta,Cola,Bibite gassate zuccherate senza succo di frutta,Bevande zuccherate",330 ml
jaouda,Cremy,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts",110g
"Nutella,Ferrero",,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Produtos para barrar,Produtos para barrar à base de plantas,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau",200 g
THE COCA-COLA COMPANY,Ciel,"Boissons,Eaux,Boissons sans alcool",1 l
Ciel,Ciel 33cl,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux de table",33cl
Maruja,,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food",150 g
Danone,ain saiss 50cl,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",
Original,Cream cheese,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cream cheeses",1 kg
Lurpak,Spreadable Slightly Salted,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters",400g
BAHIA,,"boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:boissons, fr:eaux",5 litres
Oulmès,Oulmes Eau Gazeuse,"Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales gazeuses",50cl
Green & Black's,Organic 70% Dark Chocolate Bar,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",90g
jibal,jibal jben,Chees,160 g
Excelo,KING COOKIES,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Drop cookies",
