الماركة,اسم المنتج,الفئة,الكمية
Weetabix,Weetabix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals",430 g
Tyrrell's,Lightly Sea Salted,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Snacks salés,Amuse-gueules,Chips et frites,Chips,Chips de pommes de terre,Chips de pommes de terre à l'huile de tournesol,Chips de pommes de terre classiques",150 g
Green and black,Dark chocolate,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Chocolats,Chocolats noirs",90g
Volvic,Eau Minérale Naturelle,"beverages-and-beverages-preparations, beverages, waters, spring-waters, mineral-waters, natural-mineral-waters, getränke, de:mineralwasser, natürliches-mineralwasser, de:quellwasser, de:wasser","1,5 L"
joly,Filets de maquereau,"Produits de la mer,Poissons et dérivés,Poissons,Poissons gras,Filets de poissons,Maquereaux,Filets de maquereaux,Filets de maquereaux à l'huile",125g
Lindt,Excellence Noir Puissant 85% Cacao,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette",100g
Primevère,Tartine Doux,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines, Margarines allégées",250 g
sos,611251753912,en:tomato-sauces,350g
سلطان,Aïn Soltane,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters,Non-carbonated natural mineral waters",33 cl
8dh,,"Produits de la mer,Poissons et dérivés,Poissons,Poissons gras,Filets de poissons,Maquereaux,Filets de maquereaux",125
Bjorg,Fourrés Chocolat Noir,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, Filled biscuits, Dark chocolate biscuits, Sandwich biscuits",225 g
El Baraka,Confiture De Fraises 430 G,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Produits à tartiner,Pâtes à tartiner végétales,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits rouges,Confitures de fraises",430 g
fin CARRÉ,NOIR INTENSE 74% CACAO,"snacks, sweet-snacks, cocoa-and-its-products, chocolates, dark-chocolates, cacao-et-derives, fr:chocolats, fr:chocolats-noirs, fr:chocolats-noirs-extra-fin",100 g ℮
Ciel,Eau de table,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux de table",5L
